"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Depan Bisa Belakang Bisa","Comedy",1987,NA,"Colour",91,NA,NA,"Ram Soraya","Tjut Djalil","Djoko Kusdiman, Tim Soraya Film","Dono, Kasino, Indro, Eva Arnaz, Nenden Meliala","Detektif Kasino dan dua anak buahnya, Dono dan Indro, gagal mengamankan permata. Celakanya sang pemilik, seorang Jepang, tak mempersoalkan. Mereka bahkan diberi tugas lagi untuk melindungi Michiko (Eva Arnaz) yang akan diculik penjahat. Ternyata pemilik permata itu ingin mengelabui perusahaan asuransi. Michicko mengajak Dono yang menjaganya, untuk membawa lari permata yang disimpannya."
"Akibat Terlalu Bebas","Comedy",1987,NA,"Colour",94,NA,3,"Ram Soraya","A Rachman","Baron Achmadi, Tim Soraya Film","Robin Panjaitan, Maya Kurnia, Kristine E Weitz, Asmuni, Debby Rio","Tomo (Robin Panjaitan) akan dipersandingkan dengan Ririn (Maya Kurnia). Sebagai persiapan Tomo dititipkan pada Asmuni yang beristrikan Kristin (Kristine E. Weitz). Celakanya, Tomo justru main serong dengan Kristin, hingga keluarga Asmuni pecah."
"Dendam Membara","Action",1987,NA,"Colour",87,NA,NA,"Gope T Samtani","Arizal","Deddy Armand","Christ Mitchum, Ida Iasha, Mike Abbot, Dicky Zulkarnaen, Zainal Abidin","Hasrat pembalasan dendam membara dalam hati Brown (Christ Mitchum), setelah istri dan anaknya dibunuh kawanan pembunuh bayaran. Veteran perang Vietnam yang sudah jadi warga Indonesia ini berhasil menghabisi pembunuh istri dan anaknya, bahkan menghancurkan komplotan penyelundup senjata. Ia dibantu Julia (Ida Iasha), sekretaris komplotan itu."
"Dendam di Jumat Kliwon","Mistic",1987,NA,"Colour",89,NA,NA,"Leonita Sutopo","Lilik Sudjio","Teguh Waluyo SWD, Wisjnu Mouradhy, Tua Raja Siahaan","Arthur Tobing, Joice Erna, Syamsuri Kaempuan, BZ Kadaryono, Robert Santoso","Sepasang suami-istri (Arthur Tobing, Joice Erna) dibunuh perampok yang menjarah rumah mereka. Suami-istri tadi jadi hantu yang mengganggu para perampok dan keluarganya. Mula-mula ayah dan mertua perampok dibunuh. Lalu para perampok yang merupakan anak dan menantu ayah yang terbunuh tadi. Semua peristiwa selalu di malam Jumat Kliwon. Dengan bantuan Brata (Syamsuri Kaempuan), seorang pandai, kedua muridnya dan petunjuk gurunya (BZ Kadaryono), teror ini bisa diatasi."
"Harga Diri","Drama",1987,NA,"Colour",92,NA,NA,"Lucy Sukardi","Jopi Burnama","Satmowi Atmowiloto, Saut Poltak Tambunan","Nurul Arifin, Herman Felani, Ray Sahetapy, Farida Pasha, Komalasari","Anna (Nurul Arifin) yang sudah rela menyerahkan tubuhnya, tak disambut oleh pacarnya, Aristoteles Saerang (Herman Felani), menjelang keberangkatannya ke Jerman untuk meneruskan pelajarannya. Ia mempercayakan Anna pada sahabatnya, Frans (Ray Sahetapy). Surat yang tak kunjung datang dari Aris membuat Anna bertanya-tanya dan bingung. Frans yang jadi tumpuan keluhan akhirnya hanyut, hingga kawinlah Anna dan Frans."
"Kecil-kecil Jadi Pengantin","Comedy",1987,NA,"Colour",96,NA,NA,"Raam Punjabi","Henky Solaiman","Deddy Armand","Richie Ricardo, Firdha Razak, Page Foster, Rima Melati, Asmuni","Sepasang pengantin masih muda usia, Joko dan Lastri (Richie Ricardo - Firdha Razak), mengalami kesulitan dalam melangsungkan hubungan intim. Karena Joko terbiasa takut menghadapi wanita, sementara Lastri tumbuh sebagai gadis kelaki-lakian. Muncul wanita bule, Sylvia (Page Foster), yang bertindak sebagai pembimbing seks mereka. Celakanya pengantin pria malah terhanyut."
"Dendam Anak Buangan","Drama",1987,NA,"Colour",89,NA,NA,"Leonita Sutopo","Dasri Yacob","Alim Bachtiar","Yan Bastian, Robin Karim, Boy Agusta Rachman, Wenny Rosaline, Avent Christie","Dino (Yan Bastian), anak pungut mantan penjahat yang bertobat, harus menderita karena ayah angkatnya itu dibunuh Bandot (Robin Karim), rekan penjahat yang masih terus melakukan kegiatannya. Dino kemudian kerja sebagai sopir taksi. Dalam pekerjaan itu dia tertangkap oleh kawanan penculik Benjol (Boy Agusta Rachman) yang juga menculik seorang gadis, Leli (Wenny Rosaline), anak Bandot yang sudah jadi pengusaha kaya bernama Sukma. Benjol dan Bandot yang sama-sama penjahat, akhirnya bertarung. Di situ Dino bertemu dengan pembunuh ayah angkatnya. Duel pun terjadi. Saat terdesak, Bandot mencabut pistol. Leli menghalangi dan tertembak."
"Tatkala Mimpi Berakhir","Drama",1987,NA,"Colour",102,NA,NA,"Ferry Angriawan","Wim Umboh","Satmowi Atmowiloto, Mira W","Meriam Bellina, Ray Sahetapy, Connie Constantia, Kaharuddin Syah, Herman Felani","Nisia (Meriam Bellina) secara tak sengaja terlempar ke dunia film. Ia menjadi artis terkenal dan kemudian bersua dengan sutradara idealis, Prianto (Ray Sahetapy). Mula-mula tak ada kecocokan antara mereka berdua, terutama menyangkut sikap kerja dalam dunia film. Akhirnya, Nisia membintangi film di bawah arahan Prianto. Film itu sukses, tapi Prianto meninggal akibat kesehatannya memburuk."
"Pernikahan Dini","Drama",1987,NA,"Colour",92,NA,NA,"Yazman Yazid","Yazman Yazid","Yazman Yazid, Didi Suwandhi","Mathias Muchus, Gladys Suwandhi, Zainal Abidin, Mieke Wijaya, Dhalia","Heru (Mathias Muchus) dan Dini (Gladys Suwandhi) kawin terlalu muda karena terlanjur hamil. Meski sudah punya anak, kelakuannya masih kekanak-kanakan. Heru yang calon insinyur lalu jadi sopir taksi. Dini diam-diam sering menerima bantuan uang ibunya, tanpa memberi tahu suaminya. Kemudaan mereka ini sering menimbulkan cekcok, sampai Dini pulang ke rumah orang tuanya, hingga ayahnya yang sebetulnya tak setuju perkawinan ini cekcok dengan ayah Heru yang juga menyesalkan perkawinan terpaksa ini. Soal ini selesai."
"Jaringan Terlarang","Action, Drama",1987,NA,"Colour",86,NA,NA,"Raam Punjabi","Ackyl Anwari","Deddy Armand","Hengky Tornando, Leonard Urso Jr, Cindy Lee Duck, Muni Cader, Dicky Zulkarnaen","Dua anggota sindikat narkotika berkebangsaan Indonesia tapi bermarkas di New York, membocorkan pada polisi Indonesia (Hengky Tornando) bahwa Ben Murphy (Leonard Urso Jr), anggota sindikat yang hendak disingkirkan, meninjau ladang ganja di perbatasan Kalimantan Utara. Polisi segera menangkap Ben Murphy, dan dicoba dikorek keterangannya untuk memberantas sindikat dengan menyusupkan anggota polisi ke penjara. Ben lari dan dikuntit."
"Ayahku","Drama",1987,NA,"Colour",102,NA,NA,"Bustal Nawawi","Agus Ellyas","Misbach Jusa Biran","WD Mochtar, Rima Melati, Deddy Mizwar, Wawan Wanisar, Nurul Arifin","Agus (WD Mochtar), seorang ayah, meninggalkan istri dan ketiga anaknya. Setelah sekian tahun berlalu, Agus ingin kembali ke tengah keluarganya. Artinya, ia harus minta maaf kepada istrinya (Rima Melati) dan kepada anak-anaknya, yaitu Anwar (Deddy Mizwar), Dani (Wawan Wanisar), dan Aini (Nurul Arifin). Yang paling sengit menolak sang ayah adalah Anwar, sebab selama ini sebagai anak tertua ia telah banyak berbuat untuk keluarganya."
"Macan Kampus","Drama",1987,NA,"Colour",87,NA,NA,"Rubby Karno","Adisoerya Abdy","Adisoerya Abdy, Rano Karno","Rano Karno, Leroy Osmani, Sally Marcelina, Tino Karno, Mustafa Jackson","Ian (Rano Karno) dan beberapa kawan sekampus membentuk sebuah band. Karena mulai dikenal, mereka dapat kesempatan main di pub dari seorang promotor dengan manajer Bob (Leroy Osmani). Kisah kemudian adalah berkisar tentang kehidupan grup band itu. Ada Lara (Sally Marcelina) yang disukai Ian, tapi menimbulkan persaingan tak sehat dalam grup karena ada anggota lain yang juga menyukai Lara. Ada yang cemburu karena kalah populer, sampai mati karena kecanduan narkotika. Akhirnya sengketa-sengketa itu bisa berakhir, dan mereka bersama ikut Festival Musik Rock."
"Jubah Hitam","Action",1987,NA,"Colour",80,NA,NA,"Washi Dipa","M Sharieffudin A","M Sharieffudin A","Ricky Hosada, Wieke Widowati, Simon Pitta, Buang Watari, Dadang Iskandar","Kisah dalam dunia persilatan. Bayu (Ricky Hosada) ditunjuk menjadi pengganti guru, tapi murid lain yang merasa menang, tak suka. Setelah sang guru meninggal, maka terjadi pertarungan antara dua murid itu. Pertama Bayu kalah. Ia ditolong oleh seorang gadis dan ayahnya. Akhirnya Bayu bisa mengalahkan rekan seperguruannya itu."
"Kuburan Angker","Mistic",1987,NA,"Colour",85,NA,NA,"Tien Ali","BZ Kadaryono","Proke","Johan Saimima, Anna Tairas, Lucy Soebardjo, Pong Hardjatmo, Daisy Soesanty","Satya (Johan Saimima), direktur ganteng, suka mempermainkan wanita. Salah satunya, Maya (Anna Tairas), tunangannya, marah ketika memergoki Satya sedang bercumbu dengan Nina (Lucy Soebardjo). Ia mengutuk dan berjanji tak akan membiarkan Satya dimiliki perempuan lain. Lalu gantung diri."
"Selamat Tinggal Jeanette","Drama",1987,NA,"Colour",112,NA,NA,"Ferry Angriawan","Bobby Sandy","Bobby Sandy, Titie Said","Mathias Muchus, Meriam Bellina, Ria Irawan, Nani Widjaja, David Ardianto","Suryono (Mathias Muchus) berasal dari Solo dan masih keturunan ningrat. Jeanette (Meriam Bellina), wanita cantik asal Prancis. Suryono membawa Jeanette ke kota kelahirannya dan akhirnya menikah, sungguhpun pernikahan itu tak disetujui ibu Suryono. Cinta antar bangsa itu mengalami keretakan dan Jeanette pulang ke Prancis. Sementara itu, Suryono yang kesepian sempat menggagahi pembantunya, Trimah (Ria Irawan)."
"Langit Takkan Runtuh","Drama",1987,NA,"Colour",NA,NA,NA,"Sofyan Saad","Mardali Syarief","S Marcus","Faika, Anton Sumadi, Roy Marten, Albert Fauzie, S Bono","Julia (Faika) yang memiliki paras cantik, menggunakan kecantikannya itu dengan jadi foto model untuk menyelamatkan kehidupan keluarganya yang pas-pasan. Suaminya hanya pegawai kecil merangkap sopir taksi. Julia sukses, tapi anaknya yang diserahkan pada pembantu karena kesibukannya, lari dari rumah. Rumah tangganya nyaris hancur. Apalagi suaminya tertabrak orang yang hendak mengencani Julia. Maka ayah Julia turun tangan untuk menyelamatkan perkawinan anaknya."
"Saya Suka Kamu Punya","Comedy",1987,NA,"Colour",88,NA,NA,"Ram Soraya","Tommy Burnama","Dono, Baron Achmadi, Tim Soraya","Dono, Kasino, Indro, Didik Mangkuprojo, Wenny Rosaline","Dono, Kasino, Indro diterima sebagai pemain wayang orang. Maka kelucuan dalam pentas ini dimunculkan, antara lain perkelahian betul-betulan, yang membuat penonton senang. Kemudian muncul masalah lain. Tanah tempat gedung wayang orang itu berdiri diincar oleh Gozal (Didik Mangkuprojo), pengusaha real estate. Rebutan tanah dan sertifikatnya yang kemudian jadi bahan banyolan. Penyelesaiannya: Dono dkk bertanding tinju dengan jago-jago Gozal."
"Nenek Lampir","Mistic",1987,NA,"Colour",92,NA,NA,"Sjachroni","Bachroem Halilintar","Sri Asih, S Ratu","Connie Sutedja, Lana, Jamal Mirdad, Septian Dwicahyo, Joice Erna, Freddy Djohar","Seorang arwah yang ingin balas dendam, melampirkan rohnya pada Rusmini (Connie Sutedja), seorang nenek. Suatu ketika cucu Rusmini, Riswanti (Lana) hendak diperkosa. Maka sang Nenek Lampir Rusmini tadi membunuh pemerkosanya dengan cara mengisap darah dari lehernya. Hal ini membuat Riswanti dan pacarnya, Angga (Jamal Mirdad) heran. Ada juga wartawan yang mau menyelidik. Seorang kyai akhirnya datang dan menghalau sang arwah tadi dari Rusmini."
"Misteri Sumur Tua","Drama",1987,NA,"Colour",95,NA,NA,"Leonita Sutopo","Ali Shahab","Ali Shahab","Muni Cader, Tanty Josepha, Bagus Santoso, Syamsuri Kaempuan, Hanna Wijaya, Meiske, Piet Pagau","Mayat istri Gunawan (Muni Cader) tiba-tiba hilang, dan sebelum sempat diselidiki sudah ada kembali dalam keadaan acak-acakan. Pada mayat ada bekas keringat dan sperma. Maka dicarilah penderita nekrofilia itu. Di desa tempat kejadian itu, hidup terpencil Netty (Tanty Josepha), bekas primadona panggung dan istri seorang Belanda pemilik perkebunan. Ia ditemani Pieter (Bagus Santoso), anaknya, dan Omen (Syamsuri Kaempuan), pembantunya."
"Bunga Desa","Drama",1988,NA,"Colour",120,NA,4,"Lukman Susanto","A Rachman","Asrul Sani","Rhoma Irama, Jaja Mihardja, Marissa Hosbach, Ida Iasha","Rhoma mencoba mengangkat Ratna (Marizza Hosbach) dari lumpur kehidupan. Usaha ini dihalangi oleh germo yang mempekerjakan Ratna. Dalam sebuah perkelahian, Ratna tertusuk pisau. Rhoma terguncang dan dianjurkan istirahat di desa. Di sini ia jatuh hati pada Sumi (Ida Iasha), bunga desa itu. Nasib buruk juga menimpa Sumi. Ia diguyur asam belerang, hingga wajahnya rusak. Kembali ke kota ia dikejutkan munculnya sosok wanita yang mirip Ratna dan Sumi."
"Jodoh Boleh Diatur","Comedy",1988,NA,"Colour",97,NA,NA,"Hendrick Gozali","Ami Prijono","Djasman Djakiman, Tim Garuda Film","Dono, Kasino, Indro, Raja Emma","Dono, Kasino, Indro mencari pacar lewat biro jodoh. Persoalan timbul karena pasangan mereka itu. Indro kecewa karena pasangannya ternyata sedang meneliti tentang kesetiaan pria untuk skripsinya. Dono nyaris dipensiun gara-gara kebanyakan memakai telpon untuk pacaran, sedang pasangan Kasino ternyata penipu. Calon Dono, Rita (Raja Emma) tiba-tiba menghilang dan lewat kakeknya menitipkan bayi pada Dono. Ternyata Rita menghindar dari suaminya yang datang mencari dan ingin mengajak rujuk. Rita pergi karena tak mau dimadu. Maka kelucuan pindah dengan soal bayi itu, yang mengingatkan akan film ""Three Man and a Baby"". Dono jatuh cinta pada bayi itu, hingga waktu diambil Rita dan suaminya kembali ke Malaysia, dia bagaikan kehilangan ingatan dan menyusul ke Malaysia dengan menggendong-gendong boneka ditemani Indro dan Kasino. Setelah bertemu bayi itu, ia bisa tertawa kembali."
"Bisikan Arwah","Mistic",1988,NA,"Colour",79,NA,NA,"Handi Muljono","Jopi Burnama","Jopi Burnama, Abdullah Harahap","Nina Karina, Yoseph Hungan, Muhammad Yusuf","Melihat ular aneh, Iwan (Yoseph Hungan) sangat ingin memiliki kulitnya. Belum sempat ditangkap, ular tadi ternyata adalah jelmaan arwah Parta (Muhammad Yusuf), yang dibunuh penduduk karena mengganggu Eka (Putri Salbiah), gadis desa yang memang genit. Untuk membalas dendamnya, arwah Parta tadi lalu menggunakan Iwan sebagai alatnya. Pembunuhan misterius terjadi hingga menggelisahkan masyarakat desa itu. Saat itu Eka minta tolong ajengan atau ulama (Pitrajaya Burnama). Diceritakanlah bagaimana Parta yang buruk rupa menginginkan Eka, tapi karena selalu dihina lalu bertapa dan mendapat bantuan Ratu Ular dengan syarat tak boleh kawin. Parta berhasil memacari Eka. Eka sendiri akhirnya dibunuh juga oleh arwah Parta. Mira (Nina Karina), istri Iwan, ikut gelisah dan ingin membongkar misteri ini. Waktu ayahnya, Suparja (Rachmat Hidayat) sakit keras, Mira datang. Yang menyembuhkan dukun mbah Rejo (Joes Terpase), yang lalu berjanji menemukan siapa manusia ular yang membuat resah. Ternyata Rejo hanya ingin menggagahi Mira. Untung Iwan cepat datang dan menggagalkan usaha Rejo. Penduduk yang semula mencurigai Rejo, kini beralih ke Suparja. Apalagi Suparja tak ada di rumah. Sementara itu manusia ular mengamuk melawan semua penduduk desa. Saat keadaannya kritis, datang bapak Ajengan, dukun aliran putih, yang berhasil mengalahkan Parta dan membebaskan Iwan dari belenggunya. Parta kembali dikuburkan secara baik-baik."
"Saur Sepuh II (Pesanggrahan Keramat)","Action",1988,NA,"Colour",89,NA,7,"Handi Muljono","Imam Tantowi","Imam Tantowi, Niki Kosasih","Elly Ermawatie, Fendy Pradana","Rencana Brama Kumbara (Fendy Pradana) untuk membangun pesanggrahan di dekat kuburan gurunya, mendapat hambatan dari orang-orang negeri Kuntala. Mereka memanfaatkan orang-orang mereka yang ada di negeri Brama, Madangkara. Usaha mereka mempengaruhi para senapati Madangkara berhasil lewat para istri. Para senapati jadi tidak patuh lagi pada pimpinannya. Mereka juga menyewa penjahat-penjahat berilmu tinggi untuk menghancurkan pesanggrahan. Brama marah. Bersama Mantili (Elly Ermawatie), ia mengejar para pemberontak dan mengadakan pembersihan terhadap orang-orang Kuntala yang tidak setia pada Madangkara."
"Siluman Kera","Mistic",1988,NA,"Colour",82,NA,6,"Handi Muljono","M Abnar Romli","Denny HW, Sutrisno Wijaya","Tiara Jaquelina, Advent Bangun","Rombongan penelitian biologi ke Pulau Lavayetty pimpinan Johan Giru (Advent Bangun) dan istrinya Sofia (Tiara Jaquelina) mengalami hal yang mengerikan. Beberapa ekor kera yang jadi bahan penelitian membusuk dan mengeluarkan ulat-ulat kecil. Ternyata mereka masuk perangkap roh halus pulau itu. Penguasa roh mengirim boneka kecil yang lalu diambil Sofia tanpa sadar. Penguasa roh lalu mengirim utusan berupa kera untuk menjemput Sofia. Johan panik, karena Sofia hilang. Pencarian yang dilakukan Johan gagal, bahkan anak buahnya satu per satu tewas melawan mahluk yang tak mempan ditembak. Johan beruntung, karena mahluk tadi berhenti beraksi saat mendengar genderang. Johan mengikuti dan melihat suku primitif sedang menari-nari mengitari Sofia. Johan merangsek, tapi dipukul pingsan. Saat sadar ia berada di tempat semula. Dan Sofia ada juga. Sofia diminta membakar bonekanya. 17 tahun kemudian boneka itu tampil lagi saat perayaan ulang tahun anaknya. Dan peristiwa aneh-aneh muncul lagi. Dengan bantuan seorang kyai, masalah ini bisa diselesaikan."
"Saur Sepuh (Satria Madangkara)","Action",1988,NA,"Colour",90,NA,8,"Handi Muljono","Imam Tantowi","Imam Tantowi, Niki Kosasih","Fendy Pradana, Murti Sari Dewi, Sirjon De Gaut, Harto Kawel","Kisah fiksi dengan latar belakang zaman akhir Majapahit. Bre Wirabhumi (Harto Kawel), putra Hayamwuruk dari selir, menuntut hak sebagai raja Majapahit yang saat itu diperintah Wikramawardhana (Sirjon De Gaut), menantu Hayamwuruk. Untuk menandingi Majapahit, Bre Wirabhumi mendirikan kerajaan Pamotan dan mencari dukungan dari kerajaan lain. Hal ini membuat bingung kerajaan-kerajaan sahabat Majapahit. Brama Kumbara (Fendy Pradana) dari kerajaan Madangkara mencoba mendamaikan perselisihan ini. Yang terjadi kemudian malah salah paham, hingga utusan Brama terbunuh. Kumbara lalu menyamar sebagai Satria Madangkara dan berhasil membunuh pembunuh utusannya. Celakanya, kekasih pembunuh tadi, Lasmini (Murti Sari Dewi), menuntut balas lagi dengan menculik istri Brama. Konflik-konflik ini memuncak pada Perang Paregreg antara Majapahit dan Pamotan."
"Pendekar Ksatria","Action",1988,NA,"Colour",77,NA,5,"Handi Muljono","Jopi Burnama","Imam Tantowi","Wenny Rosaline, Barry Prima, Advent Bangun, Ade Rosanti, Jimmy Prakoso","Pasukan Sultan Agung sudah ada di Krawang dalam usaha menyerbu Batavia. Bupati Ardi Soma (Jimmy Prakoso), bawahan Sultan Cirebon, mencoba mengadu domba Cirebon dan Mataram. Ia mengirim surat ke Batavia. Surat itulah yang jadi pangkal masalah kisah film. Wirasaba (Barry Prima), pendekar muda, yang ingin menyatukan para pendekar untuk membantu perjuangan Sultan Agung, merampas surat itu dan tahulah dia betapa sang bupati berkhianat. Usaha ini juga diketahui guru Wirasaba, Wadas Putih (Advent Bangun) dan putrinya, Cempaka (Wenny Rosaline), pacar Wirasaba. Ardi Soma dengan lihai menggunakan Wadas Putih. Ia menggunakan kesetiaan Wadas Putih sebagai rakyat kabupaten dengan mengangkatnya sebagai kepala seluruh perguruan di wilayah itu. Maka guru dan murid jadi bermusuhan, bahkan juga dengan putrinya sendiri, Cempaka yang semakin memusuhi ayahnya setelah kakaknya, Kenanga (Ade Rosanti) dibunuh ayahnya sendiri. Bahkan Cempaka sempat konflik dengan Wirasaba. Wirasaba yang diberi tambahan ilmu oleh arwah guru Wadas Putih, murid berhasil mengalahkan gurunya."
"Irisan-irisan Hati","Drama",1988,NA,"Colour",106,NA,NA,"Handi Muljono","Djun Saptohadi","Misbach Jusa Biran","Christine Hakim, Tiara Jaquelina, Deddy Mizwar, Baharuddin bin Haji Omar","Meski bukan mahasiswa golongan kiri, Nurhadi yang biasa dipanggil Hadi (Deddy Mizwar) berkeras jadi sukarelawan dalam pengganyangan Malaysia. Wati (Christine Hakim), kekasihnya, berusaha mencegah, tapi tak berhasil. Usahanya antara lain dengan mengaku hamil pada orangtuanya yang tak suka akan Hadi yang terpengaruh zaman. Wati lalu nikah dengan Hadi. Hadi tetap berangkat. Waktu menyelundup ke Malaysia, rombongan Hadi kepergok patroli Malaysia hingga terjadi baku tembak seru. Semua mati kecuali Hadi, yang ditemukan Latifah (Tiara Jaquelina) dalam keadaan pingsan di pinggir pantai. Hadi dirawat Latifah dan ayahnya, Somad (Baharuddin). Ia mengaku nelayan yang terdampar dan bernama Mohamad Noor. Konfrontasi usai. Wati yang yakin suaminya masih hidup mencari sendiri ke Malaysia. Hadi ditemukan sudah beristrikan Latifah yang tengah hamil besar. Wati langsung pulang dengan kecewa. Latifah memahami posisinya dan bersedia mengalah. Waktu anak mereka sudah lahir, Hadi pergi ke Indonesia. Wati berbohong telah kawin lagi, tapi Hadi tahu. Wati mengalah. Ia minta Hadi mengurus keluarganya."
